lat,lon,color
33.49565,-84.5317,red
33.50025,-88.40335,orange
33.5155,-78.3829,green
33.5388,-84.869,red
33.55153,-86.98473,green
33.56555,-90.8022,blue
33.59,-86.5,red
33.59,-96.27306,orange
33.61666,-95.90694,orange
33.6205,-86.4664,orange
33.62167,-100.8361,orange
33.6247,-109.3191,red
33.6332,-86.2952,blue
33.64341,-85.41961,red
33.64555,-95.16028,green
33.66554,-93.56799,red
33.66666,-95.27361,red
33.66675,-116.7,orange
33.67056,-95.06667,orange
33.675,-98.225,red
33.69,-96.84806,red
33.70037,-84.53352,orange
33.7065,-85.57415,orange
33.71472,-96.78917,green
33.72,-78.9211,green
33.75556,-96.53,orange
33.7655,-116.7078,red
33.76986,-94.3643,red
33.77528,-97.05903,orange
33.79094,-95.92831,red
33.796,-84.79601,red
33.7985,-91.27056,green
33.80785,-84.78979,red
33.81029,-84.97515,blue
33.81283,-84.80283,red
33.8132,-86.7891,orange
33.81435,-96.76199,red
33.81461,-85.15337,blue
33.81678,-116.6329,green
33.81861,-96.96333,orange
33.81871,-85.10207,blue
33.82083,-95.83639,orange
33.82111,-92.03389,red
33.82162,-85.48985,orange
33.82444,-97.07361,red
33.825,-96.6075,red
33.825,-110.925,orange
33.82722,-95.62861,blue
33.82819,-106.9285,blue
33.845,-95.19722,orange
33.85,-111.69,red
33.88861,-93.20389,green
33.89236,-87.3775,red
33.89444,-96.75361,red
33.8957,-87.53395,green
33.8957,-87.53395,green
33.89761,-82.4975,orange
33.89833,-86.84557,red
33.9,-109.355,red
33.91604,-85.01929,blue
33.94073,-94.09966,blue
33.94979,-84.82338,orange
33.95002,-116.5333,green
33.95003,-85.35133,green
33.97005,-84.20175,green
33.97575,-87.45876,orange
33.9844,-85.3582,orange
33.988,-109.7452,red
33.99989,-110.4298,orange
34.0,-85.0,red
34.0,-110.0,green
34.00806,-86.96416,red
34.021,-94.4435,red
34.03528,-84.83903,green
34.03789,-94.32321,green
34.04129,-85.86473,blue
34.04165,-117.0416,red
34.0425,-110.4829,blue
34.0431,-80.80685,orange
34.0474,-84.68864,green
34.05198,-85.16238,red
34.06705,-82.86789,red
34.06787,-84.79704,red
34.0775,-94.4095,orange
34.08,-93.0,orange
34.08204,-94.3457,orange
34.08725,-79.1246,red
34.1,-110.165,green
34.1088,-84.6971,green
34.11306,-95.62278,orange
34.1226,-84.7038,green
34.125,-98.105,red
34.1288,-86.68,red
34.1318,-84.73846,orange
34.14117,-85.22781,red
34.17376,-91.07266,red
34.17521,-85.18678,orange
34.17769,-85.19659,red
34.1962,-84.50055,orange
34.20873,-92.57542,green
34.21174,-96.63857,orange
34.24174,-85.08995,red
34.24228,-110.5712,red
34.25,-93.1,orange
34.25,-96.21,orange
34.25,-118.225,green
34.2556,-116.7944,red
34.27139,-110.0632,red
34.275,-110.85,blue
34.27607,-86.17524,red
34.2802,-117.8333,orange
34.285,-93.162,blue
34.285,-110.11,green
34.28665,-117.3395,red
34.28745,-84.59345,blue
34.28939,-111.1367,blue
34.29511,-86.88621,blue
34.29861,-96.30222,red
34.31,-99.295,green
34.31605,-89.845,orange
34.31611,-93.17056,orange
34.31955,-84.48006,red
34.32279,-86.5045,red
34.325,-109.64,orange
34.33335,-110.9583,orange
34.33843,-117.1776,red
34.34,-110.9725,orange
34.35,-110.98,red
34.35765,-82.82005,green
34.36153,-83.87177,red
34.36725,-84.57616,orange
34.36778,-94.68028,orange
34.369,-94.3745,orange
34.374,-80.074,blue
34.375,-111.4925,red
34.37537,-83.77232,blue
34.38638,-98.99414,green
34.39,-93.23111,blue
34.39092,-81.54448,orange
34.3924,-77.7485,green
34.39639,-95.01167,blue
34.39965,-84.383,blue
34.4,-111.5,blue
34.40434,-77.23759,blue
34.4082,-94.38045,blue
34.4125,-94.1125,blue
34.421,-81.396,green
34.425,-111.375,red
34.42654,-85.31646,red
34.4274,-110.9986,orange
34.43542,-111.3164,red
34.43951,-111.0946,red
34.4415,-94.4325,green
34.44333,-94.65639,red
34.4447,-83.59509,red
34.44652,-93.07654,red
34.45,-112.53,orange
